Time_s,ED_x_m,LV_x_m,LV_length_m,LV_width_m,visual_angle_W,visual_angle_H,tau,ED_speed_mps,LV_speed_mps,LV_frspacing_m,ED_gas_pedal_pos,ED_brake_pedal_force_kg,tau_inv
1,4341.31,3991.31,5.39,2.29,0.001854521306749162,0.001279538718193745,55.12589285714285,22.4,0,1234.82,0.54582679271698,0.3323677808046341,0.018140295751607523
2,4335.03,3991.31,5.39,2.29,0.0018891895459345299,0.0013034582893347412,52.84045335658238,22.94,0,1212.16,0.54582679271698,0.3100537329912186,0.018924894403379095
3,4328.57,3991.31,5.39,2.29,0.0019260368217869249,0.0013288813006215464,50.65913932680017,23.47,0,1188.97,0.5448818802833557,0.3323677808046341,0.019739774763030186
4,4321.96,3991.31,5.39,2.29,0.0019652435099764,0.0013559322033898306,48.61284939507718,23.97,0,1165.25,0.5464566946029663,0.3435248047113419,0.020570692984338126
5,4315.27,3991.31,5.39,2.29,0.002006800336511498,0.0013846045989904657,46.92105263157895,24.32,0,1141.12,0.545511782169342,0.3323677808046341,0.021312394840157036
6,4308.48,3991.31,5.39,2.29,0.0020507952428714714,0.0014149591632038974,45.281427412814274,24.66,0,1116.64,0.5448818802833557,0.32121075689792633,0.022084109471270957
7,4301.55,3991.31,5.39,2.29,0.0020974153248704,0.0014471249839717172,43.672799999999995,25,0,1091.82,0.54582679271698,0.32121075689792633,0.02289754721474236
8,4294.43,3991.31,5.39,2.29,0.0021468682910365904,0.0014812453711082153,42.094317284925026,25.34,0,1066.67,0.5442519783973694,0.32121075689792633,0.02375617576195074
9,4287.15,3991.31,5.39,2.29,0.002199427572561901,0.0015175089801955474,40.56018698870277,25.67,0,1041.18,0.545511782169342,0.32121075689792633,0.02465471868456943
10,4279.79,3991.31,5.39,2.29,0.0022553354934654363,0.0015560830042250608,39.067718353212776,25.99,0,1015.37,0.5451968312263489,0.32121075689792633,0.025596580556841348
11,4272.35,3991.31,5.39,2.29,0.0023149318156546,0.0015972018640760996,37.59901178259217,26.31,0,989.23,0.5442519783973694,0.3323677808046341,0.02659644369863429
12,4264.84,3991.31,5.39,2.29,0.002378528843557199,0.0016410810361661024,36.16754320060105,26.62,0,962.78,0.54582679271698,0.3323677808046341,0.027649099482747876
13,4257.28,3991.31,5.39,2.29,0.0024465289203222155,0.001687998119698297,34.75751949498701,26.93,0,936.02,0.5266141891479492,0.3435248047113419,0.028770752761693122
14,4249.67,3991.31,5.39,2.29,0.002519307355497371,0.0017382120618715483,33.47992633517496,27.15,0,908.98,0.4535433053970337,0.32121075689792633,0.029868643974564894
15,4242.06,3991.31,5.39,2.29,0.0025969313117338204,0.0017917692019822867,32.41948529411765,27.2,0,881.81,0.4755905568599701,0.32121075689792633,0.030845647021467207
16,4234.35,3991.31,5.39,2.29,0.0026797102636413636,0.001848883063997098,31.268569337724117,27.33,0,854.57,0.5395275354385376,0.3323677808046341,0.031980996290532075
17,4226.53,3991.31,5.39,2.29,0.0027686430022245867,0.0019102427700938196,29.946415640839973,27.62,0,827.12,0.607559084892273,0.3323677808046341,0.033392978044298284
18,4218.69,3991.31,5.39,2.29,0.002864935194915678,0.0019766801781514287,28.51658936853372,28.03,0,799.32,0.6116535663604736,0.32121075689792633,0.03506730721112945
19,4210.79,3991.31,5.39,2.29,0.0029697834262741537,0.00204902087926339,27.10369068541301,28.45,0,771.1,0.6116535663604736,0.3323677808046341,0.03689534431331863
20,4202.69,3991.31,5.39,2.29,0.003084341243972739,0.0021280607709506234,25.72626472626473,28.86,0,742.46,0.6107086539268494,0.3435248047113419,0.0388707809174905
21,4194.4,3991.31,5.39,2.29,0.0032099353807768325,0.0022147152408853255,24.373419883840107,29.27,0,713.41,0.5993700623512268,0.3435248047113419,0.0410283006966541
22,4186.03,3991.31,5.39,2.29,0.003348149014562255,0.0023100766126674076,23.06779089376054,29.65,0,683.96,0.5036220550537109,0.3323677808046341,0.04335048833265103
23,4177.57,3991.31,5.39,2.29,0.00350035156369417,0.0024150897251689033,21.961060758643843,29.79,0,654.22,0.42866140604019165,0.3100537329912186,0.045535141084039006
24,4169.12,3991.31,5.39,2.29,0.003667050986420702,0.0025301050473994363,21.019185459441267,29.71,0,624.48,0.48535433411598206,0.3323677808046341,0.047575582884960284
25,4160.71,3991.31,5.39,2.29,0.003850357292980244,0.0026565783942833123,19.951358604495137,29.81,0,594.75,0.5237795114517212,0.3435248047113419,0.05012189995796553
26,4152.27,3991.31,5.39,2.29,0.004054101901356088,0.0027971532769181743,18.82239253582139,30.01,0,564.86,0.5250393748283386,0.36583887934684756,0.05312820875969267
27,4143.75,3991.31,5.39,2.29,0.004282294861246166,0.002954596454484255,17.695565850430178,30.22,0,534.76,0.5240944623947144,0.32121075689792633,0.05651133218640138
28,4135.19,3991.31,5.39,2.29,0.004539597581524433,0.0031321240955496086,16.577390732829443,30.43,0,504.45,0.5237795114517212,0.32121075689792633,0.06032312419466747
29,4126.54,3991.31,5.39,2.29,0.004831835253407604,0.0033337553276786094,15.473065621939273,30.63,0,473.94,0.5244094729423523,0.3323677808046341,0.06462843397898468
30,4117.83,3991.31,5.39,2.29,0.005166734353142908,0.0035648210820811333,14.37625689263704,30.83,0,443.22,0.5240944623947144,0.32121075689792633,0.06955913541807682
31,4109.05,3991.31,5.39,2.29,0.0055540733913802725,0.0038320681040964325,13.287463744763134,31.03,0,412.31,0.5250393748283386,0.3435248047113419,0.07525890713298246
32,4100.26,3991.31,5.39,2.29,0.006007345225603358,0.004144805876180483,12.210121716848176,31.22,0,381.2,0.5237795114517212,0.3435248047113419,0.08189926547743966
33,4091.41,3991.31,5.39,2.29,0.00654472706487568,0.004515575878822521,11.139764406240051,31.41,0,349.9,0.43181103467941284,0.3323677808046341,0.08976850528722492
34,4082.5,3991.31,5.39,2.29,0.007189727167121912,0.004960597783429092,10.156568877551019,31.36,0,318.51,0.4264566898345947,0.3435248047113419,0.09845844714451667
35,4073.65,3991.31,5.39,2.29,0.007972704801030532,0.005500818159662988,9.20019218449712,31.22,0,287.23,0.432125985622406,0.3435248047113419,0.10869338161055597
36,4064.89,3991.31,5.39,2.29,0.008942168768792223,0.006169705962747472,8.234405144694534,31.1,0,256.09,0.4346456825733185,0.3323677808046341,0.12144168065914326
37,4056.16,3991.31,5.39,2.29,0.010174612342826676,0.007020038210334563,7.262665375927718,30.99,0,225.07,0.4352755844593048,0.32121075689792633,0.1376904962900431
38,4047.42,3991.31,5.39,2.29,0.011796219028486066,0.008138876010920518,6.272374798061389,30.95,0,194.13,0.4771653413772583,0.3323677808046341,0.15942924844176584
39,4038.67,3991.31,5.39,2.29,0.014031003002267017,0.009680779364009557,5.2904376012965955,30.85,0,163.21,0.19496062397956848,0.3323677808046341,0.18902028062006007
40,4030.05,3991.31,5.39,2.29,0.017256970610399398,0.011906556141672948,4.401326699834162,30.15,0,132.7,0,0.3323677808046341,0.2272042200452148
41,4021.73,3991.31,5.39,2.29,0.022239487229290086,0.015344275031562592,3.525162615542623,29.21,0,102.97,0,4.807846355438232,0.2836748567543944
42,4013.88,3991.31,5.39,2.29,0.030533333333333332,0.021066666666666668,2.8323262839879155,26.48,0,75,0,10.660178375244142,0.35306666666666664
43,4007.13,3991.31,5.39,2.29,0.0448843590748726,0.030968247745981968,2.4576107899807322,20.76,0,51.02,0,33.862012481689455,0.4068992551940415
44,4002.5,3991.31,5.39,2.29,0.0663960568280661,0.04581037982023775,2.7792103142626914,12.41,0,34.49,0,25.661892700195313,0.3598144389678168
45,3999.97,3991.31,5.39,2.29,0.08973354231974921,0.06191222570532916,4.102893890675241,6.22,0,25.52,0,11.187636280059815,0.24373040752351097
46,3998.79,3991.31,5.39,2.29,0.10731021555763824,0.07403936269915652,9.612612612612612,2.22,0,21.34,0,10.896866798400879,0.10402999062792878
47,3998.6,3991.31,5.39,2.29,0.11084220716360116,0.07647628267182963,Inf,0,0,20.66,0,10.870569133758545,0
48,3998.6,3991.31,5.39,2.29,0.11084220716360116,0.07647628267182963,Inf,0,0,20.66,0,11.995722770690918,0
49,3998.6,3991.31,5.39,2.29,0.11084220716360116,0.07647628267182963,Inf,0,0,20.66,0,10.318295860290528,0
